UnitID,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
493868,,,,,,,,,,,,,,,,,,
177834,,,,,,,,,,,,,,,,,,
180203,,,,,,,,,,,,,,,,,,
491464,,,,,,,,,,,,,,,,,,
459523,,,,,,,,,,,,,,,,,,
485500,,,,,,,,,,,,,,,,,,
461892,,,,,,,,,,,,,,,,,,
222178,60,66,61,67,61,62,61,62,57,59,60,57,61,58,58,55,57,54
497037,,,,,,,,,,,,,,,,,,
138558,34,33,24,25,22,23,23,16,,,,,,,,,,
488031,,,,,,,,,,,,,,,,,,
172866,40,,,,100,,50,0,100,100,50,100,,100,100,,,
449463,,,,,,,,,,,,,,,,,,
476957,,,,,,,,,,,,,,,,,,
457989,,,,,,,,,,,,,,,,,,
451079,,,,,,,,,,,,,,,,,,
457271,,,,,,,,,,,,,,,,,,
412173,,,,,,,,,,,,,,,,,,
462062,,,,,,,,,,,,,,,,,,
497198,,,,,,,,,,,,,,,,,,
108232,36,45,42,39,39,34,35,31,33,32,35,29,35,32,36,39,30,34
489122,,,,,,,,,,,,,,,,,,
489131,,,,,,,,,,,,,,,,,,
489140,,,,,,,,,,,,,,,,,,
451097,,,,,,,,,,,,,,,,,,
237729,,,,,,,,,,,,,,,,,,
108269,,,,,,,,,,,,,,,,,,
372462,,,,,,,,,,,,,,,,,,
457855,,,,,,,,,,,,,,,,,,
179991,,,,,,,,,,,,,,,,,,
454722,,,,,,,,,,,,,,,,,,
175722,,,,,,,,,,,,,,,,,,
374316,,,,,,,,,,,,,,,,,,
447449,,,,,,,,,,,,,,,,,,
181880,,,,,,,,,,,,,,,,,,
434274,,,,,,,,,,,,,,,,,,
455929,,,,,,,,,,,,,,,,,,
382461,,,,,,,,,,,,,,,,,,
451334,,,,,,,,,,,,,,,,,,
376446,,,,,,,,,,,,,,,,,,
487658,,,,,,,,,,,,,,,,,,
482185,,,,,,,,,,,,,,,,,,
451051,,,,,,,,,,,,,,,,,,
449454,,,,,,,,,,,,,,,,,,
486619,,,,,,,,,,,,,,,,,,
107293,,,,,,,,,,,,,,,,,,
480879,,,,,,,,,,,,,,,,,,
210508,,,,,,,,,,,,,,,,,,
461342,,,,,,,,,,,,,,,,,,
483708,,,,,,,,,,,,,,,,,,
494904,,,,,,,,,,,,,,,,,,
480736,,,,,,,,,,,,,,,,,,
449676,,,,,,,,,,,,,,,,,,
384306,,,,,,,,,,,,,,,,,,
439969,,0,31,,,,,,,,,,,83,46,,,
126182,34,31,34,29,33,29,29,23,25,25,23,27,32,30,32,31,39,32
188429,71,72,73,70,68,68,67,64,63,66,66,68,62,64,63,61,54,53
374024,,,,,,,,,,,,,,,,,,
142832,,,,,,,,,,,,,,,,,,
168528,50,53,46,45,52,53,54,57,54,59,49,44,0,50,50,41,49,47
495217,,,,,,,,,,,,,,,,,,
262369,,,,,,,,,,,,,,,,,,
203030,,,,,,,,,,,,,,,,,,
183983,,,,,,,,,,,,,,,,,,
400187,,,,,,,,,,,,,,,,,,
479974,,,,,,,,,,,,,,,,,,
444334,,,,,,,,,,,,,,,,,,
437608,,,,,,,,,,,,,,,,,,
458052,,,,,,,,,,,,,,,,,,
480019,,,,,,,,,,,,,,,,,,
444343,,,,,,,,,,,,,,,,,,
461786,,,,,,,,,,,,,,,,,,
231411,,,,,,,,,,,,,,,,,,
461430,,,,,,,,,,,,,,,,,,
456001,,,,,,,,,,,,,,,,,,
490896,,,,,,,,,,,,,,,,,,
133872,42,36,48,34,45,54,62,57,17,50,38,83,100,67,86,67,,
476878,,,,,,,,,,,,,,,,,,
496724,,,,,,,,,,,,,,,,,,
496399,,,,,,,,,,,,,,,,,,
138600,75,72,73,69,66,70,68,73,72,64,65,68,67,71,69,67,66,72
134811,33,21,36,34,29,30,32,29,39,40,41,38,44,45,43,61,80,49
457998,,,,,,,,,,,,,,,,,,
217615,,,,,,,,,,,,,,,,,,
126207,,,,,,,,,,,,,,,,,,
200697,,,,,,,,,,,,,,,,,,
100654,28,29,30,27,24,27,31,35,29,32,32,33,29,33,33,34,32,33
483975,,,,,,,,,,,,,,,,,,
488916,,,,,,,,,,,,,,,,,,
371034,,,,,,,,,,,,,,,,,,
100724,28,32,33,30,28,22,28,26,25,26,26,24,22,21,27,29,23,23
199786,,,,,,,,,,,,,,,,,,
482981,,,,,,,,,,,,,,,,,,
222497,,,,,,,,,,,,,,,,,,
102580,33,,100,0,0,10,,,,67,50,0,,,,,,
103501,,,,,,,,,,,,,,,,,,
442523,,,,,,,,,,,,,,,,,,
102669,22,56,45,56,53,48,58,58,40,52,46,27,48,33,35,27,41,30
102711,,,,,,,,,,,,,,,,,,
418038,,,,,,,,,,,,,,,,,,
188526,58,62,43,71,63,48,71,66,72,70,68,64,68,71,54,56,45,64
188535,,,,,,,,,,,,,,,,,,
188580,,,,,,,,,,,,,,,,,,
138716,35,41,37,35,34,31,31,40,42,39,41,45,42,50,41,42,44,40
138682,,,,,,,,,,,,,,,,,,
385415,,,,,,,,,,,,,,,,,,
128498,56,46,61,66,57,52,59,50,48,43,51,52,46,56,57,48,57,46
168546,64,68,70,64,57,71,65,72,74,72,68,74,74,73,71,74,72,71
132842,0,50,33,100,70,29,42,50,17,39,9,10,48,69,0,0,,
210571,47,60,57,51,53,54,58,53,54,53,60,61,62,64,60,58,57,58
175342,42,45,40,40,32,30,34,40,34,31,33,37,38,39,43,45,44,43
495192,,,,,,,,,,,,,,,,,,
237118,31,32,38,34,47,49,36,43,45,42,49,51,39,44,51,49,48,46
476735,,,,,,,,,,,,,,,,,,
483425,,,,,,,,,,,,,,,,,,
368036,,,,,,,,,,,,,,,,,,
172918,,,,,,,,,,,,,,,,,,
188641,60,61,57,60,53,61,60,55,62,63,60,64,69,67,64,66,62,69
393524,,,,,,,,,,,,,,,,,,
487995,,,,,,,,,,,,,,,,,,
156189,29,35,44,100,100,31,28,51,32,36,45,38,36,36,34,40,28,28
486868,,,,,,,,,,,,,,,,,,
485306,,,,,,,,,,,,,,,,,,
459125,,,,,,,,,,,,,,,,,,
210599,,,,,,,,,,,,,,,,,,
418658,,,,,,,,,,,,,,,,,,
373784,,,,,,,,,,,,,,,,,,
108807,,,,,,,,,,,,,,,,,,
161688,,,,,,,,,,,,,,,,,,
210669,75,73,74,74,75,76,75,78,79,78,80,78,74,74,71,77,73,66
200873,42,29,38,45,11,9,22,31,46,56,29,12,50,44,13,30,39,23
231721,,,,,,,,,,,,,,,,,,
152798,,,,,,,,,65,82,50,81,50,56,58,67,75,53
154642,,,,,,,,,,,,,,,,,,
188650,,,,,,,,,,,,,,,,,,
415987,,,,,,,,,,,,,,,,,,
469610,,,,,,,,,,,,,,,,,,
217624,23,19,22,31,24,18,19,28,23,21,0,8,19,0,22,0,31,13
490522,,,,,,,,,,,,,,,,,,
369109,,,,,,,,,,,,,,,,,,
483850,,,,,,,,,,,,,,,,,,
110468,9,20,16,25,,,,,,,29,28,29,11,20,45,34,88
490151,,,,,,,,,,,,,,,,,,
461111,,,,,,,,,,,,,,,,,,
248192,,,,,,,,,,,,,,,,,,
168591,63,71,67,64,68,67,62,61,61,67,67,63,64,70,70,70,72,71
496609,,,,,,,,,,,,,,,,,,
168607,,,,,,,,,,,,,,,,,,
445461,,,,,,,,,,,,,,,,,,
443748,,,,,,,,,,,,,,,,,,
137801,,,,,0,50,60,75,38,41,33,27,22,29,57,8,100,89
210748,,,,,,,,,,,,,,,,,,
495156,,,,,,,,,,,,,,,,,,
210775,65,61,62,57,60,53,51,53,51,51,53,53,54,53,59,48,46,45
238193,48,43,48,39,45,42,42,36,39,39,40,37,38,39,42,34,48,44
222567,,,,,,,,,,,,,,,,,,
222576,,,,,,,,,,,,,,,,,,
222628,,,,,,,,,,,,,,,,,,
457527,,,,,,,,,,,,,,,,,,
490081,,,60,33,20,,,,,,,,,,,,,
188687,,,,,,,,,,,,,,,,,,
142887,57,58,53,60,62,44,51,51,42,47,44,47,45,48,47,55,40,
457396,,,,,,,,,,,,,,,,,,
108852,,,,,,,,,,,,,,,,,,
188678,,,,,,,,,,,,,,,,,,
461290,,,,,,,,,,,,,,,,,,
446002,,,,,,,,,,,,,,,,,,
444370,,,,,,,,,,,,,,,,,,
219505,10,64,25,20,8,21,36,40,50,43,0,100,100,100,76,92,9,18
490258,,,,,,,,,,,,,,,,,,
459541,,,,,,,,,,,,,,,,,,
489247,,,,,,,,,,,,,,,,,,
108977,,,,,,,,,,,,,,,,,,
189477,,,,,,,,,,,,,,,,,,
490391,,,,,,,,,,,,,,,,,,
457688,86,,56,,,,,,,12,,,,,,,,
441052,,,,,,,,,,,,,,,,,,
109040,,,,,,,,,,,,,,,,,,
447768,,,,,,,,,,,,,,,,,,
429085,,,,,,,,,,,,,,,,,,
486169,,,,,,,,,,,,,,,,,,
449889,,,,,,,,,,,,,,,,,,
210809,,,,,,,,,,,,,,,,,,
179229,,,,,,,,,,,,,,,,,,
422835,,,,,,,,,,,,,,,,,,
483009,,,,,,,,,,,,,,,,,,
443599,,,,,,,,,,,,,,,,,,
485698,46,58,40,,,,,,,,,,,,,,,
109086,,,,,,,,,,,,,,,,,,
108870,,,,,,,,,,,,,,,,,,
493503,,,,,,,,,,,,,,,,,,
153463,,,,,,,,,,,,,,,,,,
172927,,,,,,,,,,,,,,,,,,
487852,,,,,,,,,,,,,,,,,,
441636,,,,,,,,,,,,,,,,,,
447883,,,,,,,,,,,,,,,,,,
493682,,,,,,,,,,,,,,,,,,
404037,,,,,,,,,,,,,,,,,,
447795,,,,,,,,,,,,,,,,,,
455202,,,,,,,,,,,,,,,,,,
497329,,,,,,,,,,,,,,,,,,
184092,,,,,,,,,,,,,,,,,,
490869,,,,,,,,,,,,,,,,,,
482963,,,,,,,,,,,,,,,,,,
129482,,,,,,,,,,,,,,,,,,
445027,8,11,15,12,20,0,28,8,18,,,20,,,,,,
438586,25,38,24,20,14,20,31,23,21,25,16,15,18,18,8,,51,69
445133,33,58,26,33,33,29,38,23,25,24,14,24,27,,,,,
164447,42,44,44,47,41,44,38,38,45,39,36,37,43,33,50,53,43,37
142957,50,0,50,,,,,,,,,,,,,,,
116846,50,33,100,40,29,44,68,55,81,62,44,90,28,70,75,63,70,0
492643,,,,,,,,,,,,,,,,,,
475714,,,,,,,,,,,,,,,,,,
494977,,,,,,,,,,,,,,,,,,
461263,,,,,,,,,,,,,,,,,,
188854,67,64,64,59,57,43,55,66,,,100,,,0,,,,
232797,,,,,,0,,,,100,,100,70,100,50,75,100,100
157021,,,,,,,,,0,0,50,,,,,,,
449339,41,38,32,35,34,29,31,40,39,21,,,,,,,,
109208,,,,,,,,,,,,,,,,,,
460738,,0,,0,,100,,,,,,,,,,,,
461573,,,,,,,,,,,,,,,,,,
131159,79,79,79,80,79,81,81,82,80,77,77,79,77,76,73,71,71,73
