UnitID,Control,State
493868,3,NM
177834,2,MO
180203,1,MT
491464,1,CA
459523,3,TX
485500,3,CA
461892,3,MI
222178,2,TX
497037,2,TX
138558,1,GA
488031,3,CA
172866,3,MN
449463,3,CT
476957,3,ID
457989,1,SC
451079,2,FL
457271,2,CA
412173,2,FL
462062,3,CA
497198,3,TN
108232,3,CA
489122,3,WI
489131,3,WI
489140,3,WI
451097,3,FL
237729,1,WV
108269,2,CA
372462,3,FL
457855,3,NY
179991,3,MT
454722,3,CA
175722,3,MS
374316,3,MS
447449,3,TX
181880,3,NV
434274,3,TX
455929,3,OK
382461,3,MS
451334,3,MO
376446,3,SC
487658,2,LA
482185,2,WA
451051,3,DE
449454,3,CO
486619,3,AR
107293,3,AR
480879,3,MO
210508,2,PA
461342,3,UT
483708,3,NY
494904,3,NY
480736,3,CT
449676,3,NY
384306,2,CA
439969,3,FL
126182,1,CO
188429,2,NY
374024,2,MN
142832,2,IL
168528,2,MI
495217,3,FL
262369,3,CA
203030,1,OH
183983,1,NJ
400187,3,CA
479974,3,CA
444334,3,FL
437608,3,TX
458052,3,TX
480019,3,CA
444343,3,CA
461786,3,WI
231411,3,VA
461430,3,NV
456001,3,VT
490896,3,NJ
133872,2,FL
476878,3,NY
496724,2,MO
496399,2,CA
138600,2,GA
134811,3,FL
457998,3,SC
217615,1,SC
126207,1,CO
200697,1,OH
100654,1,AL
483975,2,AL
488916,3,AL
371034,3,AL
100724,1,AL
199786,1,NC
482981,3,TX
222497,1,TX
102580,2,AK
103501,3,AK
442523,2,AK
102669,2,AK
102711,1,AK
418038,1,NY
188526,2,NY
188535,2,NY
188580,2,NY
138716,1,GA
138682,1,GA
385415,2,NY
128498,2,CT
168546,2,MI
132842,2,FL
210571,2,PA
175342,1,MS
495192,2,CA
237118,2,WV
476735,3,MA
483425,3,NC
368036,3,IN
172918,1,MN
188641,2,NY
393524,3,CA
487995,3,CA
156189,2,KY
486868,3,AZ
485306,3,AZ
459125,3,AZ
210599,3,PA
418658,3,PA
373784,3,MD
108807,1,CA
161688,1,MD
210669,2,PA
200873,2,OH
231721,3,VA
152798,2,IA
154642,1,KS
188650,3,NY
415987,3,NY
469610,3,AZ
217624,2,SC
490522,3,TX
369109,1,OH
483850,3,NY
110468,3,CA
490151,3,TN
461111,3,OH
248192,3,KY
168591,2,MI
496609,3,MD
168607,1,MI
445461,2,TX
443748,2,GA
137801,2,FL
210748,3,PA
495156,3,WA
210775,2,PA
238193,2,WI
